Zachariah Freitas,Shot Analysis

7i,
,Date,Time,Carry,Total,Peak Height,Offline,Curve,Descent Angle,Hang Time,Ball Speed,Launch Angle,Launch Direction,Side Spin,Back Spin,Total Spin,Spin Axis Tilt,Club Speed,Club Speed at Impact,Smash Factor,Angle of Attack,Club Path,Face to Path,Lie Angle,Dynamic Loft,Closure Rate,Horizontal Impact,Vertical Impact,Face to Target,
1,02/16/2026,4:08:42 PM Pacific Standard Time,61.7,116.9,26.1,27.1 R,7 R,32.2,2.8,61.9,25.7,19.3 R,2073 R,1690,2675,50.8 R,,,,,,,,,,,,,
2,02/16/2026,4:09:02 PM Pacific Standard Time,118.8,178.3,57.8,1.2 L,2 R,39.5,4.6,89.3,21.7,1.7 L,281 R,4666,4674,3.4 R,,,,,,,,,,,,,
3,02/16/2026,4:09:20 PM Pacific Standard Time,102.8,168.3,17.6,2.5 R,3 R,17.8,3.1,94.9,7.8,0.1 L,450 R,4829,4850,5.3 R,,,,,,,,,,,,,
4,02/16/2026,4:09:57 PM Pacific Standard Time,138.7,198.5,65.1,13.2 L,4 L,40.2,5.1,101.0,18.3,3.9 L,359 L,5488,5500,3.7 L,,,,,,,,,,,,,
5,02/16/2026,4:10:15 PM Pacific Standard Time,126.8,189.0,63.5,4.4 R,2 R,40.6,4.9,93.0,21.6,1.1 R,202 R,4595,4599,2.5 R,,,,,,,,,,,,,
6,02/16/2026,4:10:49 PM Pacific Standard Time,128.5,185.9,64.4,11.6 L,4 L,41.2,4.9,95.5,20.3,3.6 L,405 L,5710,5724,4.1 L,,,,,,,,,,,,,
7,02/16/2026,4:11:13 PM Pacific Standard Time,87.5,147.0,32.2,3.0 L,1 R,30.3,3.4,74.6,20.3,2.3 L,85 R,3148,3149,1.5 R,,,,,,,,,,,,,
8,02/16/2026,4:11:32 PM Pacific Standard Time,129.3,188.3,60.7,15.8 L,2 L,39.5,4.8,95.6,19.5,6.0 L,256 L,5193,5199,2.8 L,,,,,,,,,,,,,
Average,,,111.7,171.5,48.4,1.3 L,1 R,35.2,4.2,88.2,19.4,0.4 R,259 R,4415,4546,6.6 R,,,,,,,,,,,,,
