Zachariah Freitas,Shot Analysis

3h,
,Date,Time,Carry,Total,Peak Height,Offline,Curve,Descent Angle,Hang Time,Ball Speed,Launch Angle,Launch Direction,Side Spin,Back Spin,Total Spin,Spin Axis Tilt,Club Speed,Club Speed at Impact,Smash Factor,Angle of Attack,Club Path,Face to Path,Lie Angle,Dynamic Loft,Closure Rate,Horizontal Impact,Vertical Impact,Face to Target,
1,07/01/2026,4:21:26 PM Pacific Daylight Time,165.2,188.6,37.0,17.9 L,7 L,23.0,4.3,116.6,10.0,3.8 L,326 L,2377,2399,7.8 L,79.2,,1.47,4.1 DN,3.7 O-I,,,,,,,,
2,07/01/2026,4:21:52 PM Pacific Daylight Time,133.7,152.8,38.5,11.6 L,16 L,26.1,3.9,100.3,15.1,2.1 R,1038 L,1967,2224,27.8 L,79.3,,1.26,2.6 DN,2.2 O-I,,,,,,,,
3,07/01/2026,4:22:19 PM Pacific Daylight Time,168.0,180.5,46.3,2.0 R,6 R,29.4,4.8,118.8,9.6,1.5 L,369 R,3957,3974,5.3 R,81.8,,1.45,4.0 DN,3.7 O-I,,,,,,,,
4,07/01/2026,4:22:55 PM Pacific Daylight Time,164.4,179.7,48.6,10.0 L,15 L,29.0,4.7,113.2,12.9,1.6 R,718 L,2680,2775,15.0 L,78.7,,1.44,0.9 DN,0.3 O-I,,,,,,,,
5,07/01/2026,4:23:33 PM Pacific Daylight Time,146.6,164.5,43.2,2.3 L,12 L,27.2,4.3,103.9,14.7,3.8 R,629 L,2108,2200,16.6 L,78.2,,1.33,1.4 DN,1.6 O-I,,,,,,,,
6,07/01/2026,4:23:59 PM Pacific Daylight Time,177.1,191.4,59.0,16.4 R,4 R,31.6,5.1,115.1,14.3,4.1 R,149 R,2470,2474,3.5 R,80.1,,1.44,1.2 DN,1.0 I-O,,,,,,,,
7,07/01/2026,4:24:35 PM Pacific Daylight Time,73.4,165.8,1.5,5.0 R,4 R,2.4,1.5,117.6,0.8,0.9 R,1219 R,3120,3350,21.3 R,80.8,,1.46,4.3 DN,0.8 O-I,,,,,,,,
8,07/01/2026,4:24:59 PM Pacific Daylight Time,144.1,164.3,39.9,6.4 L,14 L,25.5,4.1,104.3,14.3,3.2 R,765 L,1928,2074,21.6 L,77.3,,1.35,1.9 DN,0.7 O-I,,,,,,,,
Average,,,146.6,173.4,39.3,3.1 L,6 L,24.3,4.1,111.2,11.5,1.3 R,217 L,2576,2684,7.3 L,79.4,,1.40,2.5 DN,1.5 O-I,,,,,,,,
