Zachariah Freitas,Shot Analysis

7i,
,Date,Time,Carry,Total,Peak Height,Offline,Curve,Descent Angle,Hang Time,Ball Speed,Launch Angle,Launch Direction,Side Spin,Back Spin,Total Spin,Spin Axis Tilt,Club Speed,Club Speed at Impact,Smash Factor,Angle of Attack,Club Path,Face to Path,Lie Angle,Dynamic Loft,Closure Rate,Horizontal Impact,Vertical Impact,Face to Target,
1,02/27/2026,3:33:10 PM Pacific Standard Time,92.3,136.2,50.9,40.8 R,15 R,42.2,4.2,78.5,25.4,16.9 R,4056 R,7298,8349,29.1 R,74.7,,1.05,6.9 DN,2.1 I-O,,,,,,,,
2,02/27/2026,3:34:22 PM Pacific Standard Time,108.2,168.2,43.2,26.6 L,13 L,34.0,4.0,86.3,19.4,7.5 L,1718 L,4023,4374,23.1 L,68.1,,1.27,1.6 DN,0.8 O-I,,,,,,,,
3,02/27/2026,3:34:45 PM Pacific Standard Time,122.8,176.3,58.0,11.2 R,9 R,39.7,4.7,93.8,19.4,0.8 R,1266 R,6171,6300,11.6 R,71.1,,1.32,5.7 DN,2.2 O-I,,,,,,,,
4,02/27/2026,3:35:05 PM Pacific Standard Time,71.6,128.7,23.1,2.9 R,5 R,26.5,2.8,69.0,19.1,1.4 L,1120 R,2917,3125,21.0 R,70.5,,0.98,6.2 DN,3.8 O-I,,,,,,,,
5,02/27/2026,3:35:29 PM Pacific Standard Time,129.2,194.5,52.9,23.8 L,8 L,35.7,4.6,95.1,18.2,6.9 L,768 L,3976,4049,10.9 L,73.0,,1.30,4.2 DN,2.7 O-I,,,,,,,,
6,02/27/2026,3:36:26 PM Pacific Standard Time,120.1,184.6,50.3,8.6 L,2 L,35.4,4.4,89.7,19.6,3.1 L,203 L,3719,3725,3.1 L,71.9,,1.25,3.7 DN,1.6 O-I,,,,,,,,
7,02/27/2026,3:36:55 PM Pacific Standard Time,127.5,188.3,58.8,17.9 L,8 L,38.8,4.7,94.5,19.7,4.5 L,833 L,4727,4800,10.0 L,71.2,,1.33,3.6 DN,0.3 I-O,,,,,,,,
8,02/27/2026,3:37:51 PM Pacific Standard Time,134.1,198.0,55.4,26.5 L,10 L,36.4,4.7,98.3,17.5,7.1 L,918 L,4354,4450,11.9 L,69.9,,1.41,4.3 DN,2.3 O-I,,,,,,,,
9,02/27/2026,3:38:27 PM Pacific Standard Time,142.2,201.9,73.6,8.0 L,0,42.8,5.3,103.3,19.2,3.2 L,0,6000,6000,0.0,76.3,,1.35,5.7 DN,2.6 O-I,,,,,,,,
10,02/27/2026,3:39:55 PM Pacific Standard Time,101.5,159.1,37.2,7.3 L,5 L,31.6,3.8,82.7,18.4,1.3 L,751 L,4132,4200,10.3 L,78.4,,1.06,4.1 DN,1.6 O-I,,,,,,,,
