Zachariah Freitas,Shot Analysis

5i,
,Date,Time,Carry,Total,Peak Height,Offline,Curve,Descent Angle,Hang Time,Ball Speed,Launch Angle,Launch Direction,Side Spin,Back Spin,Total Spin,Spin Axis Tilt,Club Speed,Club Speed at Impact,Smash Factor,Angle of Attack,Club Path,Face to Path,Lie Angle,Dynamic Loft,Closure Rate,Horizontal Impact,Vertical Impact,Face to Target,
1,06/30/2026,7:05:57 PM Pacific Daylight Time,147.4,158.7,53.6,24.2 L,16 L,33.2,4.7,104.3,16.1,3.1 L,1043 L,3130,3299,18.4 L,,,,,,,,,,,,,
2,06/30/2026,7:07:52 PM Pacific Daylight Time,120.8,132.6,45.6,13.5 L,7 L,32.2,4.2,89.9,19.0,2.9 L,615 L,2705,2774,12.8 L,77.2,,1.16,0.4 DN,0.2 I-O,,,,,,,,
3,06/30/2026,7:08:15 PM Pacific Daylight Time,92.2,120.3,22.0,19.0 L,14 L,20.8,2.8,88.5,14.2,3.4 L,1952 L,1828,2674,46.9 L,78.2,,1.13,1.4 DN,1.1 I-O,,,,,,,,
4,06/30/2026,7:08:48 PM Pacific Daylight Time,78.7,101.9,21.8,1.4 R,2 L,22.6,2.8,73.7,17.2,2.2 R,225 L,1634,1649,7.8 L,77.8,,0.95,2.3 DN,0.8 O-I,,,,,,,,
5,06/30/2026,7:09:08 PM Pacific Daylight Time,149.3,162.4,49.2,28.0 L,19 L,31.0,4.5,106.7,14.8,3.4 L,1189 L,2916,3149,22.2 L,78.8,,1.35,1.8 DN,3.0 I-O,,,,,,,,
6,06/30/2026,7:09:30 PM Pacific Daylight Time,91.7,113.6,24.9,13.6 L,7 L,23.3,3.0,81.2,16.1,4.1 L,868 L,1966,2149,23.8 L,77.4,,1.05,2.6 DN,0.0,,,,,,,,
7,06/30/2026,7:09:45 PM Pacific Daylight Time,61.6,90.8,16.7,2.4 L,5 L,21.3,2.2,69.1,18.4,2.7 R,960 L,482,1074,63.3 L,73.6,,0.94,2.2 UP,2.8 I-O,,,,,,,,
8,06/30/2026,7:10:05 PM Pacific Daylight Time,78.0,112.9,17.0,7.3 L,9 L,18.3,2.4,82.6,13.8,1.6 R,1593 L,1367,2099,49.4 L,77.0,,1.07,1.6 DN,1.2 I-O,,,,,,,,
9,06/30/2026,7:10:23 PM Pacific Daylight Time,152.4,170.2,39.9,32.4 L,16 L,26.0,4.3,110.6,11.8,6.2 L,942 L,2716,2875,19.1 L,80.1,,1.38,2.8 DN,0.3 I-O,,,,,,,,
10,06/30/2026,7:10:41 PM Pacific Daylight Time,12.5,137.3,0.2,1.4 L,0,1.2,0.3,104.4,1.1,5.5 L,1196 L,568,1324,64.6 L,78.4,,1.33,1.0 DN,1.4 I-O,,,,,,,,
11,06/30/2026,7:11:03 PM Pacific Daylight Time,106.0,124.6,30.7,8.8 L,11 L,25.3,3.4,87.8,16.0,1.2 R,1130 L,2229,2499,26.9 L,77.3,,1.14,0.5 DN,2.2 I-O,,,,,,,,
12,06/30/2026,7:11:37 PM Pacific Daylight Time,113.8,134.0,31.3,25.0 L,15 L,24.6,3.5,93.2,15.0,5.4 L,1325 L,2148,2524,31.7 L,75.1,,1.24,1.0 DN,1.7 I-O,,,,,,,,
13,06/30/2026,7:12:02 PM Pacific Daylight Time,110.0,135.2,26.5,30.3 L,19 L,22.1,3.2,97.7,13.3,5.9 L,2132 L,2109,2999,45.3 L,77.3,,1.26,1.1 DN,3.7 I-O,,,,,,,,
14,06/30/2026,7:12:24 PM Pacific Daylight Time,160.3,174.0,57.6,25.8 L,17 L,32.6,4.8,108.1,16.6,3.1 L,816 L,2362,2499,19.1 L,78.4,,1.38,1.9 DN,1.3 I-O,,,,,,,,
15,06/30/2026,7:12:47 PM Pacific Daylight Time,74.9,112.6,15.3,20.2 L,11 L,17.4,2.2,85.3,12.9,7.3 L,2399 L,1443,2800,59.0 L,76.5,,1.12,1.2 DN,3.7 I-O,,,,,,,,
16,06/30/2026,7:13:05 PM Pacific Daylight Time,85.0,116.6,18.2,8.4 R,3 L,18.5,2.7,81.7,13.0,7.9 R,464 L,1945,2000,13.4 L,77.9,,1.05,3.1 DN,2.2 I-O,,,,,,,,
17,06/30/2026,7:13:55 PM Pacific Daylight Time,97.5,137.1,18.0,31.3 L,13 L,16.7,2.7,95.7,10.9,11.1 L,1670 L,1893,2524,41.4 L,71.5,,1.34,3.3 DN,1.3 O-I,,,,,,,,
Average,,,101.9,131.4,28.7,16.1 L,11 L,22.8,3.2,91.8,14.1,2.7 L,1207 L,1967,2407,33.2 L,77.0,,1.18,1.5 DN,1.4 I-O,,,,,,,,
