Zachariah Freitas,Shot Analysis

7i,
,Date,Time,Carry,Total,Peak Height,Offline,Curve,Descent Angle,Hang Time,Ball Speed,Launch Angle,Launch Direction,Side Spin,Back Spin,Total Spin,Spin Axis Tilt,Club Speed,Club Speed at Impact,Smash Factor,Angle of Attack,Club Path,Face to Path,Lie Angle,Dynamic Loft,Closure Rate,Horizontal Impact,Vertical Impact,Face to Target,
1,02/20/2026,1:06:50 PM Pacific Standard Time,112.3,164.6,47.1,26.1 L,15 L,36.3,4.2,90.0,18.6,5.6 L,2413 L,5738,6225,22.8 L,75.7,,1.19,0.4 DN,0.0,,,,,,,,
2,02/20/2026,1:09:02 PM Pacific Standard Time,104.5,161.8,44.3,13.6 L,9 L,35.1,4.0,83.4,20.6,2.7 L,1224 L,4200,4375,16.2 L,76.6,,1.09,2.1 DN,2.2 I-O,,,,,,,,
3,02/20/2026,1:09:17 PM Pacific Standard Time,101.2,153.1,48.0,4.8 R,2 R,38.1,4.2,81.0,22.4,1.5 R,366 R,5161,5174,4.1 R,77.2,,1.05,2.2 DN,0.0,,,,,,,,
4,02/20/2026,1:09:31 PM Pacific Standard Time,99.4,154.3,41.7,8.2 L,3 L,34.7,3.9,80.4,20.7,3.1 L,432 L,4378,4399,5.6 L,76.2,,1.05,2.5 DN,0.4 O-I,,,,,,,,
5,02/20/2026,1:09:49 PM Pacific Standard Time,82.4,142.5,28.8,18.7 L,9 L,29.0,3.1,74.5,19.8,6.9 L,1728 L,2956,3424,30.3 L,75.3,,0.99,0.3 DN,0.2 O-I,,,,,,,,
6,02/20/2026,1:10:05 PM Pacific Standard Time,84.4,159.6,27.9,13.6 L,7 L,26.7,3.0,74.8,19.9,4.5 L,894 L,1619,1849,28.9 L,68.9,,1.08,2.8 UP,1.1 I-O,,,,,,,,
7,02/20/2026,1:10:25 PM Pacific Standard Time,140.3,203.0,63.0,31.4 L,16 L,39.2,5.0,102.5,17.8,6.4 L,1453 L,4888,5099,16.6 L,74.8,,1.37,3.8 DN,0.5 O-I,,,,,,,,
8,02/20/2026,1:10:46 PM Pacific Standard Time,92.3,156.4,31.9,17.4 L,8 L,29.0,3.4,78.7,18.9,6.1 L,1120 L,2917,3125,21.0 L,72.9,,1.08,0.8 DN,0.4 I-O,,,,,,,,
9,02/20/2026,1:11:00 PM Pacific Standard Time,123.2,182.7,52.0,11.9 L,3 L,36.4,4.5,92.6,18.5,4.2 L,304 L,4640,4650,3.7 L,76.7,,1.21,4.0 DN,2.3 O-I,,,,,,,,
10,02/20/2026,1:11:27 PM Pacific Standard Time,139.3,196.7,65.0,10.4 L,5 L,40.3,5.1,102.3,17.5,2.2 L,518 L,5927,5950,5.0 L,78.7,,1.30,3.2 DN,1.1 I-O,,,,,,,,
11,02/20/2026,1:11:59 PM Pacific Standard Time,74.5,133.9,23.9,8.2 L,3 L,26.3,2.9,70.1,18.8,4.2 L,568 L,2767,2825,11.6 L,77.5,,0.90,1.6 DN,0.8 I-O,,,,,,,,
12,02/20/2026,1:12:19 PM Pacific Standard Time,140.1,202.0,74.5,3.7 L,2 L,43.2,5.3,101.3,20.4,0.9 L,149 L,5472,5474,1.6 L,80.3,,1.26,3.2 DN,0.4 I-O,,,,,,,,
13,02/20/2026,1:12:52 PM Pacific Standard Time,148.5,214.2,69.6,37.7 L,24 L,40.8,5.2,107.6,18.0,5.4 L,1980 L,4781,5175,22.5 L,77.6,,1.39,2.4 DN,2.7 I-O,,,,,,,,
14,02/20/2026,1:13:25 PM Pacific Standard Time,96.9,196.2,12.1,3.9 L,2 R,12.3,2.6,97.4,6.7,3.5 L,296 R,2809,2825,6.0 R,77.3,,1.26,4.1 DN,1.1 I-O,,,,,,,,
15,02/20/2026,1:13:41 PM Pacific Standard Time,147.6,213.9,76.4,34.3 L,23 L,43.0,5.4,106.5,19.8,4.7 L,1867 L,4879,5224,20.9 L,77.0,,1.38,1.3 DN,2.8 I-O,,,,,,,,
16,02/20/2026,1:14:16 PM Pacific Standard Time,64.0,117.1,21.2,0.7 L,0,26.7,2.7,63.9,20.1,0.4 L,77 L,2823,2824,1.6 L,79.8,,0.80,1.4 DN,2.9 I-O,,,,,,,,
17,02/20/2026,1:14:31 PM Pacific Standard Time,140.0,204.7,86.7,2.6 R,5 L,46.6,5.6,101.4,23.3,3.1 R,457 L,5581,5600,4.7 L,79.0,,1.28,0.7 DN,4.6 I-O,,,,,,,,
18,02/20/2026,1:14:58 PM Pacific Standard Time,60.1,119.9,19.2,8.1 L,4 L,25.2,2.5,63.3,20.2,3.5 L,1169 L,1803,2149,33.0 L,74.8,,0.85,1.5 UP,2.9 I-O,,,,,,,,
19,02/20/2026,1:15:12 PM Pacific Standard Time,120.5,178.5,53.6,24.3 L,16 L,37.8,4.5,92.9,19.5,4.0 L,1984 L,4941,5324,21.9 L,77.6,,1.20,1.6 DN,2.4 I-O,,,,,,,,
20,02/20/2026,1:15:29 PM Pacific Standard Time,67.9,126.2,22.2,3.9 L,1 L,26.2,2.7,66.1,19.8,2.8 L,148 L,2420,2425,3.5 L,74.9,,0.88,0.8 DN,0.9 I-O,,,,,,,,
21,02/20/2026,1:15:55 PM Pacific Standard Time,125.8,186.8,59.2,26.5 L,17 L,39.4,4.7,94.9,20.3,4.4 L,1855 L,4696,5049,21.6 L,78.5,,1.21,1.3 DN,2.5 I-O,,,,,,,,
Average,,,107.9,169.9,46.1,14.0 L,8 L,33.9,4.0,86.9,19.1,3.4 L,937 L,4066,4246,13.5 L,76.5,,1.13,1.6 DN,1.2 I-O,,,,,,,,
