brand,model,year,head_weight_g,dimension,vcog,moi,rcog,loft,adj_vcog,vcog_cf,cf_1,cf_2,points,mpf,category,iron_number,source_pdf
MIZUNO,JPX 923 Hot Metal HL #6,2023,258.4,1.569,0.876,16.5714,0.635,28,-0.090,.786,0,33,816,846,Super Game Improvement,6,MPF_MIZUNO.pdf
COBRA,Aerojet One #6,2023,264.5,1.461,0.791,12.8999,0.553,23.5,-0.092,.699,0,52,814,844,Super Game Improvement,6,MPF_COBRA.pdf
PING,G15 #6,2010,260,1.573,0.822,14.7709,0.500,28,-0.033,0.789,0,30,814,844,Super Game Improvement,6,MPF_PING.pdf
MALTBY,TE+ V4 Forged #6,2024,259.0,1.478,0.780,11.8351,0.554,28,-0.074,.706,0,36,808,838,Super Game Improvement,6,MPF_MALTBY.pdf
TITLEIST,AP1 710 #6,2010,258,1.503,0.787,14.3988,0.510,28,-0.049,0.738,0,43,808,838,Super Game Improvement,6,MPF_TITLEIST.pdf
TOMMY ARMOUR,845 MAX #6,2021,264.0,1.595,0.848,14.8294,0.508,26,-0.046,.802,0,15,808,838,Super Game Improvement,6,MPF_TOMMYARMOUR.pdf
MIZUNO,JPX EZ #6,2015,265,1.656,0.899,18.85830,0.579,28,-0.054,.845,-5,0,806,836,Super Game Improvement,6,MPF_MIZUNO.pdf
COBRA,King Cobra SS-i Ladies #7,2004,267,1.464,0.791,14.1157,0.665,34,-0.089,.702,0,42,804,834,Super Game Improvement,7,MPF_COBRA.pdf
SPALDING,XL-2000,2000,257,1.439,0.877,14.93830,0.800,26,-0.182,.695,0,60,804,834,Super Game Improvement,,MPF_SPALDING.pdf
TAYLORMADE,Slim Max #6,2020,252.8,1.480,0.806,12.6630,0.574,25,-0.092,.714,0,38,804,834,Super Game Improvement,6,MPF_TAYLORMADE.pdf
CALLAWAY,Rogue ST Max OS #6,2022,263.7,1.594,0.857,13.9087,0.511,25,-0.052,.805,0,14,803,833,Super Game Improvement,6,MPF_CALLAWAY.pdf
COBRA,King Radspeed One #6,2021,263.1,1.442,0.782,13.5434,0.549,24,-0.089,.693,0,54,803,833,Super Game Improvement,6,MPF_COBRA.pdf
COBRA,King Cobra Transition S #6,2007,254.1,1.380,0.790,13.6885,0.692,28,-0.145,0.645,0,68,803,833,Super Game Improvement,6,MPF_COBRA.pdf
TAYLOR MADE,R7 XD #6,2006,258,1.441,0.836,13.7202,0.700,26,-0.143,.693,0,55,803,833,Super Game Improvment,6,MPF_TAYLORMADE.pdf
PING,G #6,2016,255,1.564,0.822,15.5610,0.460,26,-0.029,.793,0,31,802,832,Super Game Improvement,6,MPF_PING.pdf
POWER BILT,Citation II,2001,254,1.548,0.825,12.49764,0.512,26,-0.053,.772,0,25,801,831,Super Game Improvement,,MPF_POWERBILT.pdf
COBRA,King LTDx ONE Length #6,2022,262.1,1.463,0.779,12.8584,0.513,23.5,-0.077,.702,0,39,800,830,Super Game Improvement,6,MPF_COBRA.pdf
MALTBY,TE+ V4 Black Forged #6,2024,259.0,1.472,0.778,11.8117,0.547,28,-0.071,.710,0,35,800,830,Super Game Improvement,6,MPF_MALTBY.pdf
MAXFLI,XC2 Forged #6,2025,260.8,1.473,0.786,12.0288,0.548,27,-0.075,0.711,0,36,798,828,Super Game Improvement,6,MPF_MAXFLI.pdf
TOMMY ARMOUR,845 #6,2020,267.0,1.523,0.826,13.2983,0.534,24,-0.074,.752,0,27,798,828,Super Game Improvement,6,MPF_TOMMYARMOUR.pdf
MALTBY,KE4 MP1 #6,2013,261,1.591,0.905,14.64130,0.689,30,-0.096,.809,0,15,797,827,Super Game Improvement,6,MPF_MALTBY.pdf
PING,I,1975,252,1.471,0.771,14.05470,0.512,28,-0.054,.717,0,42,796,826,Super Game Improvement,,MPF_PING.pdf
TOMMY ARMOUR,845s Oversize Plus,2002,260,1.490,0.800,13.11259,0.525,26,-0.066,.734,0,39,795,825,Super Game Improvement,,MPF_TOMMYARMOUR.pdf
CLEVELAND,TA7 Tour Action #6,2002,259,1.547,0.805,12.05121,0.513,30,-0.028,.777,0,24,794,824,Super Game Improvement,6,MPF_CLEVELAND.pdf
COBRA,King SZ #6,2020,263.0,1.438,0.786,13.994,0.543,24,-0.086,.700,0,56,794,824,Super Game Improvement,6,MPF_COBRA.pdf
MAXFLI,VHL USA,1994,254,1.362,0.759,11.18680,0.650,27,-0.134,.625,0,56,793,823,Super Game Improvement,,MPF_MAXFLI.pdf
COBRA,King Radspeed #6,2021,256.3,1.460,0.784,12.5921,0.524,24,-0.078,.706,0,38,792,822,Super Game Improvement,6,MPF_COBRA.pdf
BEN HOGAN,BH-5,2004,253,1.494,0.861,13.41290,0.662,26,-0.118,.743,0,40,791,821,Super Game Improvement,,MPF_BEN_HOGAN.pdf
MIZUNO,JPX FLI HI Hybrid #6,2012,260,1.417,0.888,14.96580,0.853,28,-0.202,.686,0,60,791,821,Super Game Improvement,6,MPF_MIZUNO.pdf
PING,G25 #6,2013,252,1.560,0.807,15.1235,0.461,29,-0.008,.799,0,30,791,821,Super Game Improvement,6,MPF_PING.pdf
PING,EYE,1981,255,1.524,0.825,13.06690,0.550,27,-0.066,.759,0,26,791,821,Super Game Improvement,,MPF_PING.pdf
TOMMY ARMOUR,845 Stripe,2002,254,1.500,0.790,12.16853,0.475,26,-0.044,.746,0,37,791,821,Super Game Improvement,,MPF_TOMMYARMOUR.pdf
CALLAWAY,Quantum Max OS #6,2026,256.5,1.514,0.849,15.2017,0.592,24.5,-0.095,.754,0,30,790,820,Super Game Improvement,6,MPF_CALLAWAY.pdf
TITLEIST,T350 Forged #6,2024,258.1,1.480,0.805,16.1755,0.529,26,-0.066,0.739,0,49,790,820,Super Game Improvement,6,MPF_TITLEIST.pdf
GOLFWORKS,DM Pro Launch+,2003,253,1.474,0.779,13.33420,0.500,27,-0.053,.726,0,40,788,818,Super Game Improvement,,MPF_GOLFWORKS.pdf
TAYLORMADE,RSi 1 #6,2015,259.9,1.580,0.851,13.4628,0.510,26,-0.046,.805,0,13,788,818,Super Game Improvement,6,MPF_TAYLORMADE.pdf
CALLAWAY,Ai Smoke MAX Fast #6,2024,249.8,1.486,0.810,13.4057,0.564,28,-0.071,.739,0,40,787,817,Super Game Improvement,6,MPF_CALLAWAY.pdf
COBRA,Baffler #6,2013,261.1,1.484,0.809,14.0348,0.550,27,-0.070,.739,0,42,787,817,Super Game Improvement,6,MPF_COBRA.pdf
PING,G2 HL #5,2004,250,1.416,0.771,13.3524,0.550,25,-0.089,.682,0,53,787,817,Super Game Improvement,5,MPF_PING.pdf
PING,G2 HL,2004,250,1.416,0.771,13.35240,0.550,25,-0.089,.682,0,53,787,817,Super Game Improvement,,MPF_PING.pdf
CALLAWAY,Rogue ST Max #6,2022,259.7,1.575,0.841,13.2564,0.461,24.5,-0.039,.802,0,13,786,816,Super Game Improvement,6,MPF_CALLAWAY.pdf
MALTBY,TS3.5 Forged #6,2025,257.8,1.461,0.812,12.4093,0.602,26,-0.100,.712,0,37,786,816,Super Game Improvement,6,MPF_MALTBY.pdf
PING,G20 #6,2012,258,1.586,0.828,15.03080,0.500,30,-0.013,.815,0,15,786,816,Super Game Improvement,6,MPF_PING.pdf
COBRA,Adapt DS MAX #6,2025,260.3,1.426,0.803,13.5252,0.614,26,-0.108,.695,0,54,785,815,Ultra Game Improvement,6,MPF_COBRA.pdf
MALTBY,STi OS #6,2017,264.3,1.575,0.863,14.6673,0.537,26,-0.057,.806,0,15,784,814,Super Game Improvement,6,MPF_MALTBY.pdf
TAYLORMADE,SIM2 Max #6,2021,254.0,1.548,0.847,13.1671,0.504,24,-0.057,.790,0,26,784,814,Super Game Improvement,6,MPF_TAYLORMADE.pdf
TITLEIST,AP1 718 #6,2018,257.7,1.509,0.794,14.5981,0.481,27,-0.039,0.755,0,29,783,813,Super Game Improvement,6,MPF_TITLEIST.pdf
COBRA,3400 I/XH Ladies’ #7,2004,266,1.459,0.825,14.7835,0.710,34,-0.104,.721,0,44,782,812,Super Game Improvement,7,MPF_COBRA.pdf
GOLFWORKS,CER 3C,2004,255,1.417,0.800,12.13270,0.625,26,-0.115,.685,0,49,781,811,Super Game Improvement,,MPF_GOLFWORKS.pdf
POWER BILT,TPS 8.0,2004,254,1.466,0.809,12.27780,0.562,25,-0.086,.723,0,37,780,810,Super Game Improvement,,MPF_POWERBILT.pdf
WILSON,Deep Red #6 (graphite shaft),2003,260,1.505,0.890,15.58400,0.725,28,-0.134,.756,0,31,780,810,Super Game Improvement,6,MPF_WILSON.pdf
MALTBY,Logic Tungsten,2000,251,1.482,0.780,14.26342,0.450,26,-0.034,.746,0,43,779,809,Super Game Improvement,,MPF_MALTBY.pdf
CALLAWAY,Elyte HL #6,2025,250.5,1.420,0.792,13.1256,0.585,26.5,-0.097,.695,0,53,778,808,Super Game Improvement,6,MPF_CALLAWAY.pdf
CALLAWAY,Edge #6,2014,259.9,1.566,0.868,13.7049,0.592,28.5,-0.066,.802,0,14,778,808,Super Game Improvement,6,MPF_CALLAWAY.pdf
PING,G5 #6,2006,259,1.437,0.793,14.6222,0.611,30,-0.088,.705,0,44,776,806,Super Game Improvement,6,MPF_PING.pdf
TAYLORMADE,M6 #6,2019,257.9,1.439,0.801,13.4533,0.584,25,-0.098,.703,0,40,776,806,Super Game Improvement,6,MPF_TAYLORMADE.pdf
TAYLOR MADE,Supersteel Burner,2000,251,1.397,0.765,12.60461,0.575,27,-0.094,.671,0,50,776,806,Super Game Improvement,,MPF_TAYLORMADE.pdf
MIZUNO,JPX 923 Hot Metal #6,2023,258.1,1.506,0.849,15.2938,0.582,25,-0.087,.762,0,31,775,805,Super Game Improvement,6,MPF_MIZUNO.pdf
PING,G-10 #6,2008,255.5,1.570,0.796,14.4200,0.456,31,0.013,0.809,0,14,775,805,Super Game Improvement,6,MPF_PING.pdf
PING,ISI,1996,254,1.600,0.880,12.77747,0.500,25,-0.042,.838,0,13,775,805,Super Game Improvement,,MPF_PING.pdf
COBRA,F-Max One Length #6,2018,270.1,1.437,0.770,14.3556,0.529,28,-0.064,.706,0,43,774,804,Super Game Improvement,6,MPF_COBRA.pdf
CLEVELAND,Black #6,2012,257.5,1.463,.824,14.5659,.597,27,-.09,.734,0,44,773,803,Super Game Improvement,6,MPF_CLEVELAND.pdf
WILSON,Fat Shaft #6,2003,254,1.460,0.790,13.76950,0.537,28,-0.062,.728,0,41,773,803,Super Game Improvement,6,MPF_WILSON.pdf
POWER BILT,TPS 7.0,2002,260,1.503,0.834,12.95165,0.575,27,-0.076,.758,0,26,771,801,Super Game Improvement,,MPF_POWERBILT.pdf
TOSKI,T-58 #5,2006,257,1.395,.769,13.1106,.575,27,-.093,.676,0,52,771,801,Super Game Improvement,5,MPF_TOSKI.pdf
CLEVELAND,Hi Bore #6,2007,257.5,1.351,0.872,13.8934,0.883,29,-0.222,0.650,0,69,770,800,Super Game Improvement,6,MPF_CLEVELAND.pdf
ADAMS,XTD #6,2014,259.9,1.557,0.884,15.0351,0.609,27,-0.081,.803,0,15,769,799,Super Game Improvement,6,MPF_ADAMS_GOLF.pdf
MALTBY,PTM Chrome #6,2018,263.7,1.481,0.776,12.5865,0.461,28,-0.026,.750,0,38,760,799,Super Game Improvement,6,MPF_MALTBY.pdf
PING,Ping Zing,1992,250,1.615,0.922,15.23030,0.625,27,-0.079,.843,-3,0,769,799,Super Game Improvement,,MPF_PING.pdf
COBRA,King Cobra SS-i,2004,254,1.449,0.790,13.50100,0.525,26,-0.068,.722,0,41,768,798,Super Game Improvement,,MPF_COBRA.pdf
MALTBY,PTM DBM #6,2018,259.7,1.481,0.776,12.1744,0.461,28,-0.026,.750,0,37,768,798,Super Game Improvement,6,MPF_MALTBY.pdf
MIZUNO,JPX 925 Hot Metal #6,2025,257.0,1.516,0.867,15.8167,0.590,25,-0.087,.780,0,31,767,797,Super Game Improvement,6,MPF_MIZUNO.pdf
TAYLORMADE,Qi Max HL #6,2026,251.2,1.439,0.826,13.1479,0.655,28,-0.115,.711,0,39,767,797,Super Game Improvement,6,MPF_TAYLORMADE.pdf
MAXFLI,XC1 Forged #6,2026,259.9,1.456,0.791,11.5435,0.567,30,-0.064,0.727,0,35,764,794,Super Game Improvement,6,MPF_MAXFLI.pdf
TAYLOR MADE,Firesole Tungsten,1999,257,1.321,0.745,13.32200,0.612,26,-0.121,.624,0,67,764,794,Super Game Improvement,,MPF_TAYLORMADE.pdf
TOMMY ARMOUR,Atomic #6,2019,266.5,1.583,0.934,14.2225,0.643,24,-0.101,.834,0,14,764,794,Super Game Improvement,6,MPF_TOMMYARMOUR.pdf
MALTBY,STi-HS #6,2016,261.2,1.438,0.787,14.1098,0.536,27,-0.073,.718,0,42,762,792,Super Game Improvement,6,MPF_MALTBY.pdf
MAXFLI,CrossBax #6,2008,259.0,1.458,0.789,14.0141,0.512,28,-0.049,0.740,0,42,760,790,Super Game Improvement,6,MPF_MAXFLI.pdf
BEN HOGAN,B-H Offset #6,2004,254,1.463,.848,13.1639,.660,29,-.105,.743,0,39,759,789,Super Game Improvement,6,MPF_BEN_HOGAN.pdf
CLEVELAND,Launcher HB #6,2019,261.1,1.404,0.888,13.4370,0.823,27,-0.189,0.699,0,54,759,789,Super Game Improvement,6,MPF_CLEVELAND.pdf
COBRA,King Cobra SZ #6,2009,260.2,1.423,0.807,13.9147,0.629,29,-0.101,0.706,0,42,759,789,Super Game Improvement,6,MPF_COBRA.pdf
MALTBY,TE Forged #5,2010,255,1.383,0.777,12.5285,0.596,27,-0.102,0.675,0,50,758,788,Super Game Improvement,5,MPF_MALTBY.pdf
MALTBY,MTF Forged #5,2007,255,1.383,0.777,12.52850,0.596,27,-0.102,.675,0,50,758,788,Super Game Improvement,5,MPF_MALTBY.pdf
PING,G400 #6,2017,255.1,1.561,0.842,16.2720,0.459,26,-0.023,.819,0,16,758,788,Super Game Improvement,6,MPF_PING.pdf
MALTBY,KE4 DMB Forged #6,2013,264,1.383,0.763,12.52900,0.580,29,-0.087,.676,0,50,757,787,Super Game Improvement,6,MPF_MALTBY.pdf
SRIXON,ZXiR HL #6,2026,256.8,1.436,0.814,13.6271,0.619,29,-0.093,.721,0,41,756,786,Super Game Improvement,6,MPF_SRIXON.pdf
TAYLORMADE,M2 #6,2016,257.7,1.490,0.840,12.3577,0.559,24,-0.081,.759,0,25,756,786,Super Game Improvement,6,MPF_TAYLORMADE.pdf
COBRA,King LTDx #6,2022,256.6,1.424,0.765,13.2325,0.448,22.5,-0.056,.709,0,40,755,785,Super Game Improvement,6,MPF_COBRA.pdf
PING,Ping Zing2,1994,254,1.700,0.959,15.21000,0.625,26,-0.077,.882,-63,0,755,785,Super Game Improvement,,MPF_PING.pdf
TOMMY ARMOUR,845fs Silver Scot,2002,251,1.490,0.825,14.45467,0.525,26,-0.060,.765,0,29,754,784,Super Game Improvement,,MPF_TOMMYARMOUR.pdf
GOLFWORKS,Rim Fire Performance +,2001,253,1.445,0.770,14.17854,0.462,27,-0.035,.735,0,43,753,783,Super Game Improvement,,MPF_GOLFWORKS.pdf
PING,II,1977,253,1.462,0.822,13.38150,0.575,28,-0.073,.749,0,40,753,783,Super Game Improvement,,MPF_PING.pdf
TITLEIST,AP1 714 #6,2014,260.4,1.490,0.789,14.1709,0.493,30,-0.022,0.767,0,28,751,781,Super Game Improvment,6,MPF_TITLEIST.pdf
COBRA,3400 I/XH #5,2004,257,1.440,0.838,14.2012,0.625,26,-0.105,.733,0,43,750,780,Super Game Improvement,5,MPF_COBRA.pdf
MIZUNO,MZX,1989,260,1.458,0.854,13.57630,0.675,30,-0.105,.749,0,41,750,780,Super Game Improvement,,MPF_MIZUNO.pdf
TITLEIST,AP1-712 #6,2012,256,1.436,0.768,14.3558,0.480,28,-0.038,.730,0,43,749,779,Super Game Improvement,6,MPF_TITLEIST.pdf
COBRA,Aerojet #6,2023,261.5,1.430,0.791,12.7636,0.512,24,-0.071,.720,0,38,748,778,Super Game Improvement,6,MPF_COBRA.pdf
PING,S58 #6,2006,255,1.378,0.785,11.3195,0.625,28,-0.110,.675,0,45,748,778,Super Game Improvement,6,MPF_PING.pdf
LIQUIDMETAL,Pure Energy,1999,254,1.515,0.883,13.63300,0.612,26,-0.088,.795,0,27,747,777,Super Game Improvement,,MPF_LIQUIDMETAL.pdf
PING,G2,2004,250,1.545,0.839,14.33100,0.450,25,-0.027,.812,0,14,747,777,Super Game Improvement,,MPF_PING.pdf
PXG,GEN 6 0311 XP #6,2023,254.3,1.503,0.861,15.1283,0.534,22.5,-0.075,0.786,0,30,747,777,Super Game Improvement,6,MPF_PXG.pdf
CLEVELAND,Launcher Max #7,2025,263,1.443,0.789,13.7348,0.559,31,-0.051,0.738,0,41,746,776,Super Game Improvement,7,MPF_CLEVELAND.pdf
COBRA,King F7 One #6,2017,268.9,1.500,0.824,13.1729,0.492,26,-0.044,.780,0,26,746,776,Super Game Improvement,6,MPF_COBRA.pdf
TAYLORMADE,M3 #6,2018,260.2,1.454,0.825,13.5489,0.558,26,-0.076,.749,0,41,746,776,Super Game Improvement,6,MPF_TAYLORMADE.pdf
TAYLORMADE,M1 #6,2017,257.2,1.447,0.819,12.4908,0.565,26,-0.081,.738,0,37,746,776,Super Game Improvement,6,MPF_TAYLORMADE.pdf
TAYLORMADE,SpeedBlade #6,2014,261,1.482,0.819,12.7996,0.527,27,-0.056,.763,0,26,745,775,Super Game Improvement,6,MPF_TAYLORMADE.pdf
COBRA,King F-Max #6,2021,260.7,1.429,0.770,13.5549,0.506,29,-0.044,.726,0,41,744,774,Super Game Improvement,6,MPF_COBRA.pdf
MALTBY,STi 2nd Gen #6,2025,263.0,1.446,0.780,12.9413,0.485,28,-0.037,.743,0,39,742,772,Super Game Improvement,6,MPF_MALTBY.pdf
MALTBY,STi2 #6,2020,263,1.446,0.780,12.9413,0.485,28,-0.037,.743,0,39,742,772,Super Game Improvement,6,MPF_MALTBY.pdf
MAXFLI,Power Flange #5,1980,248.2,1.291,0.647,12.2495,0.426,29,-0.037,.610,0,61,742,772,Super Game Improvement,5,MPF_MAXFLI.pdf
SRIXON,ZXiR #6,2026,253.4,1.349,0.789,12.7931,0.646,25,-0.130,.659,0,51,741,771,Super Game Improvement,6,MPF_SRIXON.pdf
CALLAWAY,Elyte X #6,2025,256,1.419,0.823,13.8070,0.598,24,-0.103,.720,0,41,740,770,Super Game Improvement,6,MPF_CALLAWAY.pdf
COBRA,T-Rail #6,2020,262.3,1.365,0.816,11.8584,0.699,27.5,-0.144,.672,0,47,740,770,Super Game Improvement,6,MPF_COBRA.pdf
MALTBY,MPC (Forged) #6,2008,251.5,1.451,0.755,12.3368,0.415,28,-0.007,0.748,0,37,740,770,Super Game Improvement,6,MPF_MALTBY.pdf
ADAMS,Idea A1 Pro Hybrid #6,2005,261,1.382,0.826,12.8023,0.715,31,-0.131,.695,0,51,738,768,Super Game Improvement,6,MPF_ADAMS_GOLF.pdf
PING,G440 #6,2025,250.0,1.537,0.861,16.6984,0.498,25.5,-0.045,.816,0,17,738,768,Super Game Improvement,6,MPF_PING.pdf
TAYLOR MADE,RAC OS 2 #6,2005,261,1.410,0.831,13.9278,0.672,29,-0.117,.714,0,42,738,768,Super Game Improvment,6,MPF_TAYLORMADE.pdf
CALLAWAY,Ai Smoke HL #6,2024,251.8,1.472,0.830,13.6211,0.555,27,-0.067,.763,0,27,736,766,Super Game Improvement,6,MPF_CALLAWAY.pdf
WILSON,Deep Red #6,2003,253,1.485,0.872,15.50100,0.637,28,-0.092,.780,0,31,736,766,Super Game Improvement,6,MPF_WILSON.pdf
TITLESIST,AP1 #6,2008,257.0,1.437,0.810,13.6786,0.570,29,-0.067,0.743,0,41,735,765,Super Game Improvement,6,MPF_TITLEIST.pdf
TOMMY ARMOUR,TA1 #6,2018,259.9,1.507,0.823,13.2865,0.450,26,-0.024,.799,0,27,735,765,Super Game Improvement,6,MPF_TOMMYARMOUR.pdf
COBRA,S2 Max #6,2010,258,1.429,0.829,14.0005,0.612,28,-0.091,0.738,0,42,733,763,Super Game Improvement,6,MPF_COBRA.pdf
WILSON,Di 5 #6,2005,261,1.422,0.857,16.6249,0.688,29,-0.118,.739,0,50,733,763,Super Game Improvement,6,MPF_WILSON.pdf
SRIXON,ZXi4 Forged #6,2025,259.0,1.362,0.774,13.2841,0.557,25,-0.091,.683,0,53,732,762,Super Game Improvement,6,MPF_SRIXON.pdf
PRECEPT,EV,2001,257,1.423,0.830,13.08610,0.600,25,-0.099,.731,0,39,731,761,Super Game Improvement,,MPF_PRECEPT.pdf
MALTBY,KE4 MAX-F #6,2025,259.7,1.424,0.813,12.1216,0.554,25,-0.082,.731,0,36,729,759,Super Game Improvement,6,MPF_MALTBY.pdf
MALTBY,Tricept TU #6 Forged,2011,266.0,1.486,0.792,13.9091,0.451,29,-0.007,.785,0,28,729,759,Super Game Improvement,6,MPF_MALTBY.pdf
COBRA,King F7 Tecflo #6,2017,261.3,1.472,0.826,13.6679,0.516,26.5,-0.055,.771,0,27,728,758,Super Game Improvement,6,MPF_COBRA.pdf
MALTBY,Logic HTD M-07 (forged),2004,253,1.366,0.795,12.32210,0.600,25,-0.107,.688,0,49,727,757,Super Game Improvement,,MPF_MALTBY.pdf
PING,G740 #6,2026,259.3,1.514,0.874,18.8575,0.540,24,-0.067,.807,0,19,726,756,Super Game Improvement,6,MPF_PING.pdf
COBRA,Dark Speed One #6,2024,266.8,1.456,0.847,12.6218,0.582,24.5,-0.091,.756,0,25,725,755,Super Game Improvement,6,MPF_COBRA.pdf
MALTBY,TS4 Forged #6,2023,259.6,1.463,0.793,11.6368,0.498,29,-0.032,.761,0,28,725,755,Super Game Improvement,6,MPF_MALTBY.pdf
NIKE,SQ Machspeed #6,2010,265,1.472,0.827,13.2018,0.555,29,-0.054,0.773,0,26,725,755,Super Game Improvement,6,MPF_NIKE.pdf
COBRA,King Cobra #6 Transition S Hybrid,2009,252.4,1.260,0.809,12.5880,0.825,28,-0.210,0.599,0,63,724,754,Super Game Improvement,6,MPF_COBRA.pdf
MIZUNO,JPX 919 Hot Metal #6,2019,258.7,1.475,0.845,15.2079,0.544,26,-0.064,.781,0,30,724,754,Super Game Improvement,6,MPF_MIZUNO.pdf
COBRA,Kind 3DP #6,2026,260.4,1.403,0.806,12.7221,0.565,25,-0.088,.718,0,38,723,753,Super Game Improvement,6,MPF_COBRA.pdf
MALTBY,TS4 DBM Black Forged #6,2025,259.0,1.471,0.810,11.5726,0.520,29,-0.039,.771,0,23,723,753,Super Game Improvement,6,MPF_MALTBY.pdf
MIZUNO,JPX EZ #6,2014,260,1.603,0.918,18.53510,0.598,28,-0.058,.860,-20,0,723,753,Super Game Improvement,6,MPF_MIZUNO.pdf
LYNX,Black Cat Ti Launch #6,2005,255,1.345,.841,14.6282,.780,32,-.159,.682,0,59,722,752,Super Game Improvement,6,MPF_LYNX.pdf
MALTBY,KE4 SS1 #5,2010,257,1.426,0.773,12.3482,0.443,26,-0.032,0.741,0,37,722,752,Super Game Improvement,5,MPF_MALTBY.pdf
CLEVELAND,Launcher #6,2010,257,1.530,0.840,13.8328,0.515,30,-0.017,0.823,0,14,721,751,Super Game Improvement,6,MPF_CLEVELAND.pdf
CALLAWAY,Mavrik Max #6,2020,263.3,1.484,0.852,14.1143,0.525,25.5,-0.060,.792,0,28,720,750,Super Game Improvement,6,MPF_CALLAWAY.pdf
PING,Faith (Womens) #6,2011,265.3,1.514,0.837,15.5336,0.567,32,-0.027,.810,0,16,720,750,Super Game Improvement,6,MPF_PING.pdf
TAYLOR MADE,200,2000,250,1.397,0.780,12.97045,0.500,25,-0.064,.716,0,39,720,750,Super Game Improvement,,MPF_TAYLORMADE.pdf
PING,G710 #6,2020,256.2,1.635,0.908,19.0887,0.504,26,0.030,.878,-38,0,719,749,Super Game Improvement,6,MPF_PING.pdf
PING,Karsten #6,2014,252.5,1.514,0.831,16.8844,0.461,27,-0.019,.812,0,17,719,749,Super Game Improvement,6,MPF_PING.pdf
COBRA,CX1,2001,252,1.465,0.837,13.29698,0.550,27,-0.063,.774,0,27,718,748,Super Game Improvement,,MPF_COBRA.pdf
XXIO,X-Series #6,2019,260.9,1.382,0.797,15.7673,0.565,26,-0.086,.711,0,47,718,748,Super Game Improvement,6,MPF_XXIO.pdf
TOMMY ARMOUR,845c Silver Back (forged cavity),2003,260,1.385,0.780,13.70239,0.537,27,-0.071,.709,0,41,717,747,Super Game Improvement,,MPF_TOMMYARMOUR.pdf
COBRA,F-Max #6,2018,260.6,1.415,0.777,14.1077,0.481,28,-0.036,.741,0,42,716,746,Super Game Improvement,6,MPF_COBRA.pdf
GOLFSMITH,Snake Eyes Python,2004,255,1.359,0.774,12.93770,0.550,27,-0.079,.695,0,52,716,746,Super Game Improvement,,MPF_GOLFSMITH.pdf
MALTBY,MCC Forged #5,2007,254,1.353,0.781,12.0003,0.587,27,-0.096,.685,0,48,716,746,Super Game Improvement,5,MPF_MALTBY.pdf
MIZUNO,JPX 921 Hot Metal #6,2021,256.5,1.522,0.847,16.1383,0.516,29,-0.025,.822,0,16,716,746,Super Game Improvement,6,MPF_MIZUNO.pdf
TOSKI,Target T-55,2003,253,1.332,0.762,12.67870,0.575,27,-0.095,.667,0,51,716,746,Super Game Improvement,,MPF_TOSKI.pdf
CALLAWAY,Big Bertha Senior OS #6,2017,256.8,1.537,0.885,12.4492,0.536,26,-0.051,.834,0,12,715,745,Super Game Improvement,6,MPF_CALLAWAY.pdf
PING,GLE4 #8,2026,262.5,1.596,0.877,18.4986,0.595,33,-0.016,.861,-21,0,714,744,Super Game Improvement,8,MPF_PING.pdf
TAYLORMADE,Qi HL #6,2024,252.0,1.446,0.831,13.4954,0.553,26,-0.072,.759,0,27,714,744,Super Game Improvement,6,MPF_TAYLORMADE.pdf
CALLAWAY,Elyte Max Fast #6,2025,253,1.408,0.805,13.4534,0.536,26,-0.070,.735,0,40,713,743,Super Game Improvement,6,MPF_CALLAWAY.pdf
CALLAWAY,Quantum Max Fast #6,2026,251.7,1.505,0.879,14.9329,0.549,24,-0.070,.809,0,15,711,741,Super Game Improvement,6,MPF_CALLAWAY.pdf
MALTBY,Logic Tech Tungsten,2004,252,1.291,0.747,12.48380,0.587,27,-0.105,.642,0,62,711,741,Super Game Improvement,,MPF_MALTBY.pdf
CALLAWAY,Rogue ST Pro #6,2022,262.0,1.421,0.778,12.2799,0.455,27,-0.030,.748,0,37,710,740,Super Game Improvement,6,MPF_CALLAWAY.pdf
PING,ISI K,1996,249,1.658,0.915,14.67948,0.512,26,-0.032,.883,-65,0,710,740,Super Game Improvement,,MPF_PING.pdf
CLEVELAND,Hi Bore XLi Hybrid #6,2009,256.8,1.326,0.869,14.0651,0.830,28,-0.196,0.673,0,56,709,739,Super Game Improvement,6,MPF_CLEVELAND.pdf
PXG,PXG 0311XF #6,2017,259.2,1.551,0.873,14.9694,0.508,27,-0.032,0.841,-1,0,709,739,Super Game Improvement,6,MPF_PXG.pdf
ADAMS,A2 Hybrid #6,2006,259,1.340,0.804,12.9644,0.662,29,-0.120,.684,0,52,708,738,Super Game Improvement,6,MPF_ADAMS_GOLF.pdf
PING,G410 #6,2019,255.9,1.560,0.883,19.0437,0.492,25,-0.037,.846,-6,0,708,738,Super Game Improvement,6,MPF_PING.pdf
TAYLORMADE,RBLADEZ MAX #6,2013,260.0,1.457,0.889,14.7552,0.658,26,-0.109,.780,0,30,707,737,Super Game Improvement,6,MPF_TAYLORMADE.pdf
TITLEIST,716 AP1 #6,2016,261.8,1.441,0.793,14.6902,0.478,28,-0.030,0.763,0,29,707,737,Super Game Improvement,6,MPF_TITLEIST.pdf
PING,G700 #6,2018,255.3,1.552,0.878,17.7991,0.484,25,-0.035,.843,-3,0,706,736,Super Game Improvement,6,MPF_PING.pdf
