brand,model,year,head_weight_g,dimension,vcog,moi,rcog,loft,adj_vcog,vcog_cf,cf_1,cf_2,points,mpf,category,iron_number,source_pdf
CALLAWAY,X-18 Pro Series #6,2004,258,1.572,0.809,11.5979,0.715,30,-0.143,.666,0,46,952,982,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
MALTBY,M890 #6,2020,262,1.687,0.805,15.3964,0.502,28.5,-0.039,.766,0,31,952,982,Ultra Game Improvement,6,MPF_MALTBY.pdf
CALLAWAY,Steelhead X-14,2002,252,1.595,0.770,11.49177,0.537,26,-0.079,.691,0,46,950,980,Ultra Game Improvement,,MPF_CALLAWAY.pdf
TOSKI,Target T-56,2003,257,1.560,0.768,12.68380,0.600,27,-0.106,.662,0,51,949,979,Ultra Game Improvement,,MPF_TOSKI.pdf
MALTBY,RDM Recoil #5,2006,252,1.672,0.858,16.7558,0.625,27,-0.096,.762,0,34,944,974,Ultra Game Improvement,5,MPF_MALTBY.pdf
TAYLORMADE,Stealth HD #6,2023,253.9,1.543,0.763,13.7110,0.585,25.5,-0.107,.656,0,55,942,972,Ultra Game Improvement,6,MPF_TAYLORMADE.pdf
TOMMY ARMOUR,855 #6,2006,263,1.552,0.806,14.8328,0.687,28,-.137,.669,0,59,942,972,Ultra Game Improvement,6,MPF_TOMMYARMOUR.pdf
CALLAWAY,RAZR #6,2011,260.7,1.587,0.769,13.0141,0.540,28,-0.070,.699,0,52,940,970,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
CLEVELAND,Launcher #6,2005,261,1.550,.777,15.0169,.634,30,-.107,.670,0,60,940,970,Ultra Game Improvement,6,MPF_CLEVELAND.pdf
MALTBY,L-Tech #5,2007,255,1.512,0.720,12.8273,0.562,30,-0.084,.636,0,64,940,970,Ultra Game Improvement,5,MPF_MALTBY.pdf
MALTBY,MHS #5,2007,250,1.536,0.785,13.5169,0.658,26,-0.134,.651,0,54,939,969,Ultra Game Improvement,5,MPF_MALTBY.pdf
CALLAWAY,Diablo Edge #6,2010,261,1.575,0.791,12.9617,0.612,28,-0.102,0.689,0,52,938,968,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
POWER BILT,GrandSlam Ladies oversize,2002,260,1.513,0.730,13.80974,0.525,25,-0.086,.644,0,69,938,968,Ultra Game Improvement,,MPF_POWERBILT.pdf
CALLAWAY,Steelhead XR #6,2017,255.4,1.641,0.810,13.2401,0.520,25.5,-0.066,.744,0,40,937,967,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
CALLAWAY,Pro Series X-16,2003,257,1.554,0.794,10.92660,0.687,30,-0.132,.662,0,44,936,966,Ultra Game Improvement,,MPF_CALLAWAY.pdf
CALLAWAY,Big Bertha,2003,253,1.576,0.822,11.53500,0.675,26,-0.134,.688,0,46,934,964,Ultra Game Improvement,,MPF_CALLAWAY.pdf
MALTBY,Logic Lady #5,2006,261,1.488,0.720,12.8273,0.592,30,-0.102,.618,0,64,934,964,Ultra Game Improvement,5,MPF_MALTBY.pdf
CALLAWAY,RAZR Womens #6,2011,260.3,1.591,0.768,13.0364,0.534,28,-0.067,.701,0,39,929,959,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
MALTBY,KE4 MAX #6,2022,259.2,1.659,0.815,13.8912,0.513,26,-0.057,.758,0,28,929,959,Ultra Game Improvement,6,MPF_MALTBY.pdf
GOLFWORKS,CER 851 UM,2004,257,1.535,0.742,12.10820,0.537,26,-0.085,.657,0,48,926,956,Ultra Game Improvement,,MPF_GOLFWORKS.pdf
MALTBY,Logic Lady,2000,262,1.550,0.720,13.45681,0.475,29,-0.042,.678,0,54,926,956,Ultra Game Improvement,,MPF_MALTBY.pdf
CALLAWAY,FT #6,2008,260.5,1.557,0.776,13.5295,0.594,30,-0.084,.692,0,54,919,949,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
TOMMY ARMOUR,845 Vault,2003,256,1.535,0.733,13.76600,0.475,26,-0.057,.676,0,55,914,944,Ultra Game Improvement,,MPF_TOMMYARMOUR.pdf
WILSON,Deep Red II #6,2004,259,1.525,0.809,16.11640,0.687,29,-0.132,.677,0,64,912,942,Ultra Game Improvement,6,MPF_WILSON.pdf
PING,GMax #6,2015,255,1.650,0.833,17.33340,0.524,26,-0.057,.776,0,35,909,939,Ultra Game Improvement,6,MPF_PING.pdf
CLEVELAND,Quadpro #6,2002,261,1.524,0.778,13.52630,0.625,29,-0.107,.671,0,54,907,937,Ultra Game Improvement,6,MPF_CLEVELAND.pdf
COBRA,King Max 3DP #6,2026,258,1.487,0.751,12.8229,0.584,26,-0.106,.645,0,64,906,936,Ultra Game Improvement,6,MPF_COBRA.pdf
COBRA,S9 #6,2006,262,1.562,0.790,14.1515,0.587,28,-0.089,.701,0,42,903,933,Ultra Game Improvement,6,MPF_COBRA.pdf
CLEVELAND,TA6 #6,2001,256,1.534,.801,13.6516,.663,31,-.109,.692,0,55,897,927,Ultra Game Improvement,6,MPF_CLEVELAND.pdf
CALLAWAY,Big Bertha #6,2006,260,1.581,0.871,12.9076,0.757,30,-0.147,.724,0,39,896,926,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
TAYLORMADE,M4 #6,2018,257.1,1.567,0.799,13.1968,0.551,24,-0.087,.712,0,40,895,925,Ultra Game Improvement,6,MPF_TAYLORMADE.pdf
CALLAWAY,Big Bertha CF19 #6,2019,255.4,1.603,0.845,13.0959,0.593,24,-0.097,.748,0,39,894,924,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
POWER BILT,TPS H & B (black finish),1988,253,1.478,0.779,11.72270,0.675,29,-0.135,.644,0,59,893,923,Ultra Game Improvement,,MPF_POWERBILT.pdf
MALTBY,Glider T #6,2009,267.5,1.412,0.668,12.5262,0.575,34,-0.084,0.584,0,63,891,921,Ultra Game Improvement,6,MPF_MALTBY.pdf
GOLFWORKS,CER 851 UM Oversize #5,2006,254,1.468,.752,12.1148,.596,26,-.112,.640,0,61,889,919,Ultra Game Improvement,5,MPF_GOLFWORKS.pdf
CALLAWAY,Steelhead XR Pro #6,2017,259.5,1.645,0.862,13.0796,0.590,27,-0.077,.785,0,26,886,916,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
CLEVELAND,TA5 (cast),2000,246,1.519,0.770,12.81994,0.550,26,-0.085,.685,0,51,885,915,Utra Game Improvement,,MPF_CLEVELAND.pdf
PING,Rapture #6,2006,260,1.549,0.816,14.8207,0.656,30,-0.107,.709,0,44,884,914,Ultra Game Improvement,6,MPF_PING.pdf
MALTBY,Xtreme X-1,2003,252,1.580,0.850,13.63591,0.637,25,-0.112,.738,0,41,883,913,Ultra Game Improvement,,MPF_MALTBY.pdf
CALLAWAY,Big Bertha B21 #6,2021,259.5,1.652,0.877,13.7408,0.570,24,-0.080,.797,0,27,882,912,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
CALLAWAY,RAZR X HL #6,2012,261,1.575,0.799,12.4832,0.541,27,-0.068,.731,0,37,881,911,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
CALLAWAY,Big Bertha Hybrid #5,2008,252.0,1.525,0.825,13.8930,0.652,25,-0.125,.700,0,56,881,911,Ultra Game Improvement,5,MPF_CALLAWAY.pdf
PING,G5L #6,2006,263,1.512,0.774,13.8788,0.562,27,-0.085,.689,0,56,879,909,Ultra Game Improvement,6,MPF_PING.pdf
CALLAWAY,Big Bertha Ladies’ #6,2008,257.0,1.548,0.840,13.7831,0.685,28,-0.127,.713,0,41,876,906,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
CALLAWAY,Diablo Edge Womens #6,2010,260,1.564,0.810,12.6636,0.587,28,-0.083,.727,0,38,875,905,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
PING,Serene #6 Ladies,2013,255.5,1.607,0.817,14.6333,0.519,27,-0.052,.765,0,29,871,901,Ultra Game Improvement,6,MPF_PING.pdf
PING,Rapture V2 #6,2009,255.0,1.618,0.805,15.4716,0.492,29,-0.025,0.780,0,31,869,899,Ultra Game Improvement,6,MPF_PING.pdf
GOLFWORKS,Kinetic CER,1989,255,1.426,0.764,11.75210,0.675,26,-0.147,.617,0,59,868,898,Ultra Game Improvement,,MPF_GOLFWORKS.pdf
GOLFWORKS,CER E-Series #5,2005,252,1.454,.730,12.0666,.540,28,-.081,.649,0,60,865,895,Ultra Game Improvement,5,MPF_GOLFWORKS.pdf
TITLEIST,T300 #6,2020,259.3,1.544,0.793,14.8781,0.528,26,-0.069,0.724,0,45,865,895,Ultra Game Improvement,6,MPF_TITLEIST.pdf
GOLFWORKS,DM Pro Steel Stainless #6,2007,262,1.532,.815,12.5688,.671,31,-.109,.706,0,38,864,894,Ultra Game Improvement,6,MPF_GOLFWORKS.pdf
GOLFWORKS,CER 851 HS Hybrid Series #5,2007,251,1.536,.843,14.0203,.675,26,-.129,.714,0,42,864,894,Ultra Game Improvement,5,MPF_GOLFWORKS.pdf
PING,K15 Ti Face #6,2011,259.7,1.585,0.811,16.2813,0.538,28,-0.057,.754,0,33,864,894,Ultra Game Improvement,6,MPF_PING.pdf
NICKENT,6DX Tungsten #6,2011,255.3,1.630,.865,13.2886,.593,28,-.071,.794,0,27,863,893,Ultra Game Improvement,6,MPF_NICKENT.pdf
MALTBY,L-Tech LT #6,2015,267.5,1.612,0.766,14.2191,0.440,31,0.012,.778,0,28,862,892,Ultra Game Improvement,6,MPF_MALTBY.pdf
CALLAWAY,Steelhead X-14 Pro,2002,252,1.475,0.780,10.94610,0.625,25,-0.122,.658,0,44,861,891,Ultra Game Improvement,,MPF_CALLAWAY.pdf
GOLFWORKS,DM Pro Steel 2 #5 (Yellow Back),2009,256.3,1.542,.803,13.7565,.551,26,-.078,.725,0,41,858,888,Ultra Game Improvement,5,MPF_GOLFWORKS.pdf
CLEVELAND,Zipcore XL #7,2025,267.1,1.547,0.813,17.105,0.581,29,-0.072,0.741,0,51,857,887,Ultra Game Improvement,7,MPF_CLEVELAND.pdf
MALTBY,Logic Pro Forged,2000,250,1.465,0.740,12.40872,0.537,27,-0.081,.659,0,50,856,886,Ultra Game Improvement,,MPF_MALTBY.pdf
COBRA,S3 Max #6,2011,258.7,1.459,0.778,13.9058,0.635,28,-0.118,.660,0,56,855,885,Ultra Game Improvement,6,MPF_COBRA.pdf
NIKE,VrS High COR Face #6,2012,260.2,1.587,0.858,14.5977,0.618,26,-0.097,.761,0,29,855,885,Ultra Game Improvement,6,MPF_NIKE.pdf
MACGREGOR,The Doctor RX #5,1993,246,1.408,.730,15.6703,.551,25,-.098,.632,0,78,854,884,Ultra Game Improvement,5,MPF_MACGREGOR.pdf
MALTBY,KE-4 Tour #5,2007,252,1.530,0.780,11.93550,0.531,27,-0.068,.712,0,36,854,884,Ultra Game Improvement,5,MPF_MALTBY.pdf
COBRA,Adapt DS #6,2025,258,1.486,0.773,12.8287,0.542,24,-0.088,.685,0,51,852,882,Ultra Game Improvement,6,MPF_COBRA.pdf
