brand,model,year,mpf,category,category_by_score,iron_number,source
CALLAWAY,Pro Series X-16,2003,966,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha,2003,964,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,Logic Lady,2006,964,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,RAZR Women’s #6,2011,959,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,KE4 Max #6,2022,959,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFWORKS,CER 851 UM,2004,956,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,Logic Lady,2000,956,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,FT #6,2008,949,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,845 Vault,2003,944,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
WILSON,Deep Red II #6,2004,942,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,Hybrid ST,2008,941,Ultra Game Improvement,Ultra Game Improvement,hybrid,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha Hybrid #4,2008,938,Ultra Game Improvement,Ultra Game Improvement,4,GolfWorks Maltby Playability Factor
CLEVELAND,Quadpro #6,2002,937,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King Max 3DP #6,2026,936,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,S9 #6,2006,933,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CLEVELAND,TA6 #6,2001,927,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha #6,2006,926,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,M4 #6,2018,925,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha CF19 #6,2019,924,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
POWER BILT,TPS H&B Black Finish,1988,923,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,Glider T #6,2009,921,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFWORKS,CER 851 UM Oversize,2006,919,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Steelhead XR Pro #6,2017,916,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CLEVELAND,TA5 (Cast),2000,915,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
PING,Rapture #6,2006,914,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,Xtreme X-1,2003,913,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha B21 #6,2021,912,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha Hybrid #5,2008,911,Ultra Game Improvement,Ultra Game Improvement,5,GolfWorks Maltby Playability Factor
CALLAWAY,RAZR X HL #6,2012,911,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
PING,G5L #6,2006,909,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha Ladies #6,2008,906,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Diablo Edge Women’s #6,2010,905,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
PING,Serene #6 Ladies,2013,901,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
PING,Rapture V2 #6,2009,899,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFWORKS,Kinetic CER,1989,898,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
GOLFWORKS,CER E-Series,2005,895,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
SRIXON,I-403 AD,2005,895,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
