brand,model,year,mpf,category,category_by_score,iron_number,source
PING,G-10,2008,805,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
PING,ISI,1996,805,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
COBRA,F-Max One Length #6,2018,804,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CLEVELAND,Black #6,2012,803,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
WILSON,Fat Shaft #6,2003,803,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
POWER BILT,TPS 7.0,2002,801,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
TOSKI,T-58 #5,2006,801,Super Game Improvement,Super Game Improvement,5,GolfWorks Maltby Playability Factor
CLEVELAND,Hi Bore,2007,800,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
ADAMS,XTD #6,2014,799,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,PTM Chrome #6,2018,799,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,Ping Zing,1992,799,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
COBRA,King Cobra SS-i,2004,798,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,PTM DBM #6,2018,798,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MIZUNO,JPX 925 Hot Metal #6,2025,797,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,Qi Max HL #6,2026,797,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MAXFLI,XC1 Forged #6,2026,794,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,Firesole Tungsten,1999,794,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,Atomic #6,2019,794,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,STi-HS #6,2016,792,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MAXFLI,CrossBax,2008,790,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
BEN HOGAN,B-H offset #6,2004,789,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CLEVELAND,Launcher HB #6,2019,789,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King Cobra SZ #6,2009,789,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,MTF Forged,2007,788,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,TE Forged,2010,788,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
PING,G400 #6,2017,788,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,DBM Forged #6,2013,787,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
SRIXON,ZXir HL #6,2026,786,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,M2 #6,2016,786,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King LTDx #6,2022,785,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,Ping Zing2,1994,785,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,845fs Silver Scot,2002,784,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
GOLFWORKS,Rim Fire Performance +,2001,783,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
PING,II,1977,783,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
GOLFSMITH,Snake Eyes Viper #5,2007,781,Super Game Improvement,Super Game Improvement,5,GolfWorks Maltby Playability Factor
TITLEIST,AP1 714 #6,2014,781,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King Cobra 3400 I/XH,2004,780,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
MIZUNO,MZX,1989,780,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
TITLEIST,AP1-712 #6,2012,779,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,Aerojet #6,2023,778,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,G2 #6,2004,778,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,S58 #6,2006,778,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
LIQUIDMETAL,Pure Energy,1999,777,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
PING,G2,2004,777,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
PXG,Gen 6 0311XP #6,2023,777,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CLEVELAND,Launcher Max #7,2025,776,Super Game Improvement,Super Game Improvement,7,GolfWorks Maltby Playability Factor
COBRA,King F7 One #6,2017,776,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,M1 #6,2017,776,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,M3 #6,2018,776,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,SpeedBlade #6,2014,775,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King F-Max #6,2021,774,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,STi2 #6,2020,772,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,STi2 2nd Gen #6,2025,772,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MAXFLI/DUNLOP,Power Flange #5,1980,772,Super Game Improvement,Super Game Improvement,5,GolfWorks Maltby Playability Factor
SRIXON,ZXiR #6,2026,771,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Elyte X #6,2025,770,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,T-Rail #6,2020,770,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,MPC Forged,2008,770,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
TOSKI,TourU T-58,2006,770,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
ADAMS,Idea A1 Pro Hybrid #6,2005,768,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,G440 #6,2025,768,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,RAC OS 2 #6,2005,768,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Ai Smoke HL #6,2024,766,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
WILSON,Deep Red #6,2003,766,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TITLEIST,AP1 #6,2008,765,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,TA1,2018,765,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
COBRA,S2 Max #6,2010,763,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
WILSON,Di 5 #6,2005,763,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
SRIXON,ZXi4 Forged #6,2025,762,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PRECEPT,EV,2001,761,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,KE4 Max-F #6,2025,759,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,Tricept TU Forged #6,2011,759,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King F7 Tecflo #6,2017,758,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,Logic HTD M-07 (forged),2004,757,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
PING,G740 #6,2026,756,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,Dark Speed One Length #6,2024,755,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,TS4 Forged #6,2023,755,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
NIKE,SQ Machspeed #6,2010,755,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King Cobra #6 Transition S Hybrid,2009,754,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MIZUNO,JPX 919 Hot Metal #6,2019,754,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King 3DP #6,2026,753,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,TS4 DBM Black #6,2025,753,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MIZUNO,JPX EZ #6,2014,753,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
LYNX,Black Cat Ti Launch #6,2005,752,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,KE4 SS1 #5,2010,752,Super Game Improvement,Super Game Improvement,5,GolfWorks Maltby Playability Factor
CLEVELAND,Launcher #6,2010,751,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Mavrik Max #6,2020,750,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,Faithe Women’s #6,2011,750,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,200,2000,750,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
PING,G710 #6,2020,749,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,Karsten #6,2014,749,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,CX1,2001,748,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
XXIO,X-Series #6,2019,748,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,845c Silver Back (forged cavity),2003,747,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
COBRA,F-Max #6,2018,746,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFSMITH,Snake Eyes Python,2004,746,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,MCC Forged #5,2007,746,Super Game Improvement,Super Game Improvement,5,GolfWorks Maltby Playability Factor
MIZUNO,JPX 921 Hot Metal #6,2021,746,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TOSKI,Target T-55,2003,746,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha Senior #6,2017,745,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,GLE4 #6,2026,744,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,Qi HL #6,2024,744,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Elyte Max Fast #6,2025,743,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Quantum Max Fast #6,2026,741,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,Logic Tech Tungsten,2004,741,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Rogue ST Pro #6,2022,740,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,ISI K,1996,740,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
CLEVELAND,CG7 Zip Grooves #6,2010,739,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CLEVELAND,Hi Bore XLi Hybrid #6,2009,739,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PXG,0311XF #6,2017,739,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
ADAMS,A2 Hybrid #6,2006,738,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,G410 #6,2019,738,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,RBLADEZ MAX #6,2013,737,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TITLEIST,716 AP1 #6,2016,737,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,G700 #6,2018,736,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,RAZR XF Forged #6,2012,735,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CLEVELAND,Mashie Gliderail #6,2012,733,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,G430 #6,2023,731,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Elyte #6,2025,730,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,CGB #6,2018,730,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,SIM2 Max OS #6,2021,730,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
WILSON,Fat Shaft Staff,1997,729,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
BROWNING,440 G,1996,728,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Quantum Max #6,2026,728,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,TS1-IM Forged #6,2023,728,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MIZUNO,MX-11 #6,2002,728,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,TS2 #6,2018,727,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,845cs Silver Back (cast ss),2003,727,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
MIZUNO,JPX 850 #6,2015,726,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,Logic Tradition M-06 (stainless),2004,725,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
COBRA,King Tec-X Forged One Length #6,2025,724,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,Eye 2,1983,724,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
MIZUNO,SORA High Launch Design,2008,723,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
NIKE,Slingshot HL #6,2009,723,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,MMB Forged,2007,722,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha OS #6,2017,720,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,EL-1,1982,720,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
BOCCIERI,H-11 Control Series Heavy Iron #6,2011,719,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Rogue ST Max OS Lite #6,2022,719,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CLEVELAND,CG7 Dynamic-MCT #6,2010,719,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFSMITH,XPC Lady,2004,719,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
GOLFSMITH,Spalding Legacy,2002,717,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
ONE IRON GOLF,1 Iron #6,2021,717,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,X-20 Tour #6,2007,716,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,Logic Tradition M-05,2003,716,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,Tricept Cavity C2 #6,2009,716,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,Bio Cell TSW #6,2014,715,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King F8 One Length #6,2018,715,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MIZUNO,MX-19 #6,2006,715,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,MMB (tungsten toe weight) Forged #6,2011,714,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,MMB-17 Forged #6,2013,714,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,RBLADEZ #6,2013,714,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,Dark Speed #6,2024,713,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,S3 E9 Face Technology #6,2011,713,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MIZUNO,JPX 925 Hot Metal Pro #6,2025,713,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,TS1 #6,2019,711,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CLEVELAND,XLi Hi-Bore Hybrid Women’s #6,2009,710,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,Bio Cell+ TSW #6,2014,709,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFWORKS,DM Pro Launch,2002,708,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,Logic Tradition M-03 (forged),2002,708,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
CLEVELAND,CG4 #6,2005,707,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,MCC Forged,2007,707,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
PING,i5 #6,2006,707,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CLEVELAND,CBX #6,2019,706,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TOUR EDGE,Bazooka HT Max #6,2010,706,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CLEVELAND,CG Gold MCT,2008,705,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
COBRA,King Cobra SS-i #6 (senior),2004,705,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,KE4 Forged #6,2012,705,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TOUR EDGE,Exotics XCG3 #6,2010,705,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,Stealth #6,2022,703,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
WISHON,770 CFE,2005,703,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
GOLFWORKS,Dm Pro Balance,2003,702,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,M-45 #6,2005,702,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLOR MADE,RAC HT,2004,701,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
COBRA,Amp Cell #6,2013,700,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,RAZR Tour #6,2011,699,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,Fly Z XL #6,2015,699,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King F8 #6,2018,699,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
MAXFLI,Australian 2000,1997,697,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
SPALDING,Tour Edition,1985,697,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
TAYLORMADE,P790 #6,2024,697,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
MIZUNO,JPX Hot Metal Pro #6,2023,696,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
SRIXON,ZX4 #6,2021,696,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
YONEX,V-Mass 350,2002,696,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
TITLEIST,T250* Launch Forged #6,2025,693,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
WILSON,Pi 5 #6,2005,693,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
CLEVELAND,Launcher UHX #6,2021,692,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
PXG,0311 XP #6,2020,692,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
TOUR EDGE,Bazooka Max MOI Geomax 2 #6,2010,691,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
TITLEIST,T200 #6,2020,690,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
TITLEIST,T250 Forged #6,2025,690,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
PING,i15 #6,2010,689,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,835 Hot Scot,2002,689,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
MAXFLI,VHL (midsize),1995,688,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
TAYLORMADE,M5 #6,2019,687,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
PXG,Gen 5 0311 XP #6,2022,686,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,3100 I/H Ladies’ #7,2004,685,Game Improvement,Game Improvement,7,GolfWorks Maltby Playability Factor
MIZUNO,JPX 900 Hot Metal #6,2017,685,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,Amp Cell #6 Ladies,2013,683,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,Fly Z XL Forged #6,2015,683,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,M2 Tour #6,2016,683,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
BRIDGESTONE,J-40 Forged #6 Straight Cavity,2012,682,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
PRECEPT,EC 603 tungsten #6,2004,681,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,Amp #6 Ladies,2013,680,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFSMITH,Snake Eyes Viper LS,2000,679,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
GOLFSMITH,Harvey Penick Fire Steel,2003,678,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
GOLFSMITH,Snakes Eyes Viper Ladies’ #5,2007,678,Game Improvement,Game Improvement,5,GolfWorks Maltby Playability Factor
POWER BILT,Platinum Series III,2000,678,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
POWER BILT,TPS Oversize,1996,678,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Mavrik #6,2020,677,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,S2 #6,2010,677,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,RAC OS,2003,677,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,845s Silver Scot (original),1988,677,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
MIZUNO,MX Speed Metal #6,2026,676,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
ORLIMAR,SS Scoring Iron,2000,676,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
TAYLORMADE,P790 Forged #6,2025,676,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
NIKE,VRS Covert #6,2014,675,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLOR MADE,SLDR #6,2014,674,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Paradym X #6,2023,672,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
CLEVELAND,CG-16 Laser Milled #6,2011,672,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
MACGREGOR,M565 #6,2005,670,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,Atomic Max #6,2019,670,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Rogue X #6,2018,669,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
NIKE,Sling Shot OSS #6,2006,669,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
FOUNDERS CLUB,Fresh Metal #6,2004,668,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,RAC LT 2 #6,2005,667,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
POWER BILT,TPS Elipsoid,1994,666,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
TOSKI,T-54 Forged,2003,666,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
COBRA,King F6 #6,2016,665,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
MAKSER,AS-4,2005,665,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
MAXFLI,VT #6,2010,665,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King Cobra SS (oversize),2001,664,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
GOLFSMITH,Snake Eyes FMC-1,2003,664,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
MIZUNO,MX-17 #6,2005,664,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
POWER BILT,GrandSlam Diamond Weighting,2003,664,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
PXG,Gen 5 0311 P #6,2022,664,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,LCG Burner,1998,664,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
WILSON,Defy #6,2016,664,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
NIKE,Vr-Pro Cavity #6,2011,663,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
TITLEIST,AP3 718 #6,2018,662,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,855s Silver Scot,1995,662,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
WISHON,550C (forged),2003,662,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
COBRA,King Cobra #5 Transition S Hybrid,2009,661,Game Improvement,Game Improvement,5,GolfWorks Maltby Playability Factor
TAYLORMADE,Oversize Burner,1996,661,Game Improvement,Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,XR #6,2015,660,Game Improvement,Game Improvement,6,GolfWorks Maltby Playability Factor
