club,n_all,n_good,club_spd,ball_spd,smash,launch,backspin,dyn_loft,peak_ht,descent,aoa,carry,verdict
5i,28,14,76.1,106.2,1.4,14.3,2825.5,,46.2,29.5,2.8,148.6,backspin LOW (2825.5 vs 4300-5300); descent LOW (29.5 vs 41-46); peak_ht LOW (46.2 vs 78-96)
7i,125,67,75.4,99.1,1.3,18.8,4949.0,,60.7,39.5,4.7,132.8,backspin LOW (4949.0 vs 5500-6800); descent LOW (39.5 vs 45-50); peak_ht LOW (60.7 vs 82-100)
