brand,model,year,mpf,category,tier,vs_P770_gamer,vs_X20Tour_best,fit_score,in_pref_band,loft,moi,vcog,head_weight_g
PXG,Gen 6 0311XP #6,2023.0,777,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),210,61,61.5,False,22.5,15.1283,0.861,254.3
COBRA,Aerojet #6,2023.0,778,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),211,62,61.0,False,24.0,12.7636,0.791,261.5
PXG,Gen 6 0311 P #6,2023.0,622,Game Improvement,"B - P770 replacement, slight forgiveness bump",55,-94,61.0,True,26.0,14.5012,0.881,257.3
SRIXON,ZXir HL #6,2026.0,786,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),219,70,57.0,False,29.0,13.6271,0.814,256.8
MAXFLI,XC1 Forged #6,2026.0,794,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),227,78,53.0,False,30.0,11.5435,0.791,259.9
TAYLORMADE,Qi Max HL #6,2026.0,797,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),230,81,51.5,False,28.0,13.1479,0.826,251.2
MIZUNO,JPX 925 Hot Metal #6,2025.0,797,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),230,81,51.5,False,25.0,15.8167,0.867,257.0
CALLAWAY,Ai Smoke #6,2024.0,599,Game Improvement,D - outside preferred range,32,-117,49.5,True,24.0,12.7873,0.863,258.8
PXG,0311 P Gen 7 SX Forged #6,2025.0,596,Game Improvement,D - outside preferred range,29,-120,48.0,True,26.5,14.5799,0.89,257.4
MIZUNO,JPX 923 Hot Metal #6,2023.0,805,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),238,89,47.5,False,25.0,15.2938,0.849,258.1
CALLAWAY,Elyte HL #6,2025.0,808,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),241,92,46.0,False,26.5,13.1256,0.792,250.5
COBRA,Adapt DS Max #6,2025.0,815,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),248,99,42.5,False,26.0,13.5252,0.803,260.3
MALTBY,TS3.5 Forged #6,2025.0,816,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),249,100,42.0,False,26.0,12.4093,0.812,257.8
CALLAWAY,Ai Smoke MAX Fast #6,2024.0,817,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),250,101,41.5,False,28.0,13.4057,0.81,249.8
CALLAWAY,Quantum Max OS #6,2026.0,820,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),253,104,40.0,False,24.5,15.2017,0.849,256.5
TITLEIST,T350 Forged #6,2024.0,820,Super Game Improvement,C - more forgiving than he's ever gamed (super game-improvement),253,104,40.0,False,26.0,16.1755,0.805,258.1
MIZUNO,JPX 925 Forged #6,2025.0,577,Game Improvement,D - outside preferred range,10,-139,38.5,False,27.0,13.4476,0.863,254.3
TAYLORMADE,P7CB Forged #6,2025.0,576,Game Improvement,D - outside preferred range,9,-140,38.0,False,29.0,11.6368,0.793,253.4
TITLEIST,T150 Forged #6,2024.0,576,Game Improvement,D - outside preferred range,9,-140,38.0,False,28.0,14.501,0.788,258.4
TITLEIST,T200 Forged #6,2024.0,574,Game Improvement,D - outside preferred range,7,-142,37.0,False,28.0,13.8371,0.79,259.1
TAKOMO,Iron 101 #6,2024.0,573,Game Improvement,D - outside preferred range,6,-143,36.5,False,,,,
MAXFLI,XC2 Forged #6,2025.0,828,Super Game Improvement,D - outside preferred range,261,112,36.0,False,27.0,12.0288,0.786,260.8
TAKOMO,Iron 101T #6,2024.0,571,Game Improvement,D - outside preferred range,4,-145,35.5,False,,,,
MALTBY,TE+ V4 Black Forged #6,2024.0,830,Super Game Improvement,D - outside preferred range,263,114,35.0,False,28.0,11.8117,0.778,259.0
SRIXON,ZXi5 Forged #6,2025.0,567,Game Improvement,D - outside preferred range,0,-149,33.5,False,27.0,13.0303,0.814,259.8
TAYLORMADE,P770 Forged #6,2023.0,567,Game Improvement,D - outside preferred range,0,-149,33.5,False,29.0,11.5378,0.788,251.0
MALTBY,TE+ V4 Forged #6,2024.0,838,Super Game Improvement,D - outside preferred range,271,122,31.0,False,28.0,11.8351,0.78,259.0
CALLAWAY,Apex Ti Fusion Forged #6,2025.0,558,Game Improvement,D - outside preferred range,-9,-158,29.0,False,26.0,13.0481,0.849,263.0
COBRA,Aerojet One #6,2023.0,844,Super Game Improvement,D - outside preferred range,277,128,28.0,False,23.5,12.8999,0.791,264.5
PING,G730 #6,2024.0,555,Game Improvement,D - outside preferred range,-12,-161,27.5,False,25.0,18.8381,0.916,252.3
MIZUNO,JPX 923 Hot Metal HL #6,2023.0,846,Super Game Improvement,D - outside preferred range,279,130,27.0,False,28.0,16.5714,0.876,258.4
TITLEIST,T100 Forged #6,2024.0,553,Game Improvement,D - outside preferred range,-14,-163,26.5,False,30.0,13.5729,0.779,259.2
MIZUNO,JPX 925 Forged Black #6,2025.0,552,Game Improvement,D - outside preferred range,-15,-164,26.0,False,27.0,13.4474,0.859,255.1
MALTBY,TS3 Forged #6,2023.0,849,Super Game Improvement,D - outside preferred range,282,133,25.5,False,28.0,11.7242,0.747,261.4
MALTBY,TS3 DBM Black #6,2025.0,850,Super Game Improvement,D - outside preferred range,283,134,25.0,False,28.0,12.3021,0.764,261.1
TAYLORMADE,Qi Max #6,2026.0,856,Ultra Game Improvement,D - outside preferred range,289,140,22.0,False,24.0,12.8524,0.798,252.7
TITLEIST,T350 Forged #6,2025.0,856,Ultra Game Improvement,D - outside preferred range,289,140,22.0,False,26.0,14.5919,0.757,260.0
MIZUNO,JPX 925 Hot Metal HL #6,2025.0,857,Ultra Game Improvement,D - outside preferred range,290,141,21.5,False,28.0,15.8167,0.828,257.1
MIZUNO,Pro 245 #6,2024.0,543,Conventional,D - outside preferred range,-24,-173,21.5,False,27.0,11.9925,0.82,258.2
MIZUNO,M-15 #6,2026.0,542,Conventional,D - outside preferred range,-25,-174,21.0,False,26.5,11.9459,0.822,256.8
PING,i540 #6,2026.0,540,Conventional,D - outside preferred range,-27,-176,20.0,False,26.0,15.4534,0.866,256.1
FOREWARD,Forged #6,2026.0,535,Conventional,D - outside preferred range,-32,-181,17.5,False,,,,
COBRA,King Tec Forged #6,2025.0,535,Conventional,D - outside preferred range,-32,-181,17.5,False,26.0,12.8881,0.85,264.0
MAXFLI,XC3 Forged #6,2025.0,866,Ultra Game Improvement,D - outside preferred range,299,150,17.0,False,27.0,12.722,0.783,261.8
MIZUNO,Pro 223 Forged #6,2023.0,532,Conventional,D - outside preferred range,-35,-184,16.0,False,28.0,12.8287,0.812,256.4
