Zachariah Freitas,Shot Analysis

7i,
,Date,Time,Carry,Total,Peak Height,Offline,Curve,Descent Angle,Hang Time,Ball Speed,Launch Angle,Launch Direction,Side Spin,Back Spin,Total Spin,Spin Axis Tilt,Club Speed,Club Speed at Impact,Smash Factor,Angle of Attack,Club Path,Face to Path,Lie Angle,Dynamic Loft,Closure Rate,Horizontal Impact,Vertical Impact,Face to Target,
26,03/01/2026,1:10:21 PM Pacific Standard Time,119.5,173.3,41.4,8.9 R,3 R,32.2,4.2,93.8,14.8,2.8 R,396 R,5585,5599,4.1 R,77.2,,1.21,4.4 DN,0.6 I-O,,,,,,,,
27,03/01/2026,1:10:53 PM Pacific Standard Time,87.5,138.5,29.8,4.6 R,5 R,29.3,3.4,77.2,17.8,0.3 L,1117 R,4770,4899,13.2 R,78.2,,0.99,7.4 DN,2.5 O-I,,,,,,,,
28,03/01/2026,1:11:12 PM Pacific Standard Time,125.7,178.9,56.0,2.0 L,1 L,38.5,4.7,95.3,18.0,0.3 L,169 L,6197,6199,1.6 L,75.6,,1.26,3.5 DN,0.3 I-O,,,,,,,,
29,03/01/2026,1:11:34 PM Pacific Standard Time,133.9,189.9,70.6,10.1 R,6 R,43.0,5.2,99.5,20.0,1.7 R,717 R,6535,6574,6.3 R,77.0,,1.29,6.3 DN,0.5 O-I,,,,,,,,
30,03/01/2026,1:12:02 PM Pacific Standard Time,134.8,194.5,64.8,13.9 L,6 L,40.5,5.0,98.7,19.2,3.6 L,556 L,5346,5375,5.9 L,74.3,,1.33,4.7 DN,0.8 O-I,,,,,,,,
31,03/01/2026,1:12:36 PM Pacific Standard Time,123.0,175.1,57.6,24.5 R,15 R,39.8,4.7,95.1,18.9,4.5 R,2119 R,6566,6899,17.9 R,77.7,,1.22,7.8 DN,0.6 O-I,,,,,,,,
32,03/01/2026,1:13:07 PM Pacific Standard Time,113.3,172.6,31.4,12.6 R,12 R,26.7,3.7,94.2,12.6,0.5 R,1655 R,4770,5049,19.1 R,75.7,,1.24,6.0 DN,0.9 O-I,,,,,,,,
33,03/01/2026,1:13:34 PM Pacific Standard Time,125.2,177.2,56.3,12.2 R,11 R,38.9,4.7,95.9,18.0,0.8 R,1420 R,6547,6699,12.2 R,76.2,,1.26,5.4 DN,1.0 O-I,,,,,,,,
34,03/01/2026,1:13:58 PM Pacific Standard Time,64.1,113.5,17.9,32.9 R,8 R,23.7,2.5,69.3,16.5,24.1 R,3348 R,4363,5500,37.5 R,77.5,,0.89,2.8 DN,1.6 I-O,,,,,,,,
35,03/01/2026,1:14:28 PM Pacific Standard Time,111.0,166.1,36.3,11.6 L,7 L,30.2,3.9,90.1,15.0,2.1 L,1103 L,5107,5225,12.2 L,73.5,,1.23,4.0 DN,0.9 I-O,,,,,,,,
36,03/01/2026,1:15:00 PM Pacific Standard Time,132.3,189.7,62.7,5.0 L,1 L,40.1,4.9,97.9,18.8,1.7 L,125 L,5673,5674,1.3 L,75.0,,1.31,3.9 DN,1.2 I-O,,,,,,,,
Average,,,107.5,172.0,45.2,5.7 R,3 R,32.3,4.0,90.8,16.2,1.8 R,559 R,5124,5390,8.1 R,75.1,,1.21,5.5 DN,0.6 I-O,,,,,,,,
